id,name,username
540543234,Jamie Carter- ProChoice & Pissed Off,JCTheResistance
80415454,Republicans Are Dangerous to Democracy,LiberalFenix
871437799152533504,Cori,quasi_maybe
834870910154850308,Robin Utz @ Defending Grace,defending_grace
32180227,AZ LeeAnn 🌵,tweetissweet
865753479813443585,vivian,MoscowSunshine
1902808676,RN Wright,rn_wright
88272662,Paul McLean,Eco_War
16504921,Mazie,mazie2008
28691659,Thomas Mills,tmillsNC
835578634517819393,Voicefeed,voicefeed
314507784,David Saliba,salibalaw
4770897612,Rob Edwards,IamRobEdwards
1708197883,Jacqueline Scott,jkkocianscott
75721882,Jon Keller,kelleratlarge
848056632,Twisted Crone,TwistedCrone
842399698728112129,Standupdad,standupdadshow
3239020457,SeniorS,DesignDoc65
164554364,HawaiiDelilah™ votes DEMOCRATIC BLUE,HawaiiDelilah
24303274,Apparently Boosted Steve,Steverocks35
4856002372,huashengzhuti07,huashengzhuti07
78687007,insufficient data 😷F💉M💉M💉M💉,d1876o88
23608092,LTS #IStandWithUkraine,LisaToddSutton
14820509,waltb31,waltb31
311677386,#Overeducated Debrianna📢,DMansini
119586158,DonkeyHotey,DonkeyHotey
38670486,Nerd Prom: The Movie,NerdProm
17397880,Sean Kent,seankent
818214702966677505,SK,Skarizona
41044925,Startup Report,StartupReport
70794303,NewsForProgressives,NewsForProgress
720610337892933633,khang gia,banghecaocap
333014276,Janice Jhana Elks🇺🇸🇺🇦,OMAHAGEMGIRL
18825344,Alex 🇺🇸,linksteroh
931097514,sandi u,sandiuagain
161594344,☮️ Sandearl 🇺🇦 #StandWithUkraine,sandearl
16256826,Jodi 🇺🇦,jodotcom
20707777,Erica Dale Southward,southwer
824381343060496384,Jamie Gaskins,JamieGaskins3
744150240136044544,DJ KING ASSASSIN,djkingassassin
470192426,Matt Sabuda,MattSabuda
22061225,BusyRebel,wendydshaffer
3632161,The Lisa of Wines,omyword
44959505,nancy bowen,lavenderblue27
24538902,Marc Triplett,MarcTriplett
418293509,dr who?,ALLinONEboat
796382717982240768,C Stratton,catbird4239
616612047,Proctor,dproctor52
330413701,rocky,rcdjr510
109282734,Questioning Everything,agileborgi
14100847,Betty Cahill,Betty_Cahill
20661696,Gina Whitney,whitberg7
26548315,Soledad O'Brien,soledadobrien
149230663,Spocko,spockosbrain
54926009,PepSchnauzer OLY,PepSchnauzer
17688491,Nataya,Nataya
598718727,Romney's Limo Driver,RomneyChauffeur
9789712,RealBenShapiro,Real_BenShapiro
599717706,CinOvation,CinOvation
34761747,Steve Kimura 🍥🇺🇦,stevekimura
3430272736,Todd Breasseale,TBreasseale
726699782371160064,Adam Sackrin,AdamSackrin
27550555,vote💙,RepubliClowns
244028146,Madeline Ramsey,nakadenaka
727526912894111744,GabbyMedia,gabby_media
32605697,Nancy Lombardi,NPeacheeL
169294256,Mark Amoroso,alvernia97
21025406,I_Stand_With_Ukraine,scarebaby
31767258,Carlos Edwards,rcarlosnyc
15527249,Mike Levine,Musashi22
2881295272,Red,Redpainter1
4852722405,huashengzhuti06,huashengzhuti06
91864452,kyra,kyramoment
4703042276,"SHOOTING IN BURNS,OR",burns_ore
709144993,Shannon the Irish,ShannonBullins1
4605733154,RealEstateTalkFAQ,RealEstateTalkF
868856461,Fighting Liberal,texyellowdogdem
298090959,David McConville,DMCNH_NJ
2762530229,Suzie Sante,SanteSuzie
106160210,Bonnie Jewell ☮️,Cronewomanchane
2754041669,Richard Melancon,MelanconRichard
